molecule_chembl_id,canonical_smiles,pIC50
CHEMBL129795,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,5.728158393463501
CHEMBL1299324,COC(=O)COc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)cc1,4.301029995663981
CHEMBL1299346,CSc1ccc(C2C(C#N)=C(N)Oc3c2ccc(=O)c2c(C)oc(C)c32)cc1,4.301029995663981
CHEMBL1299357,CCCCn1c(NC(=O)CC)c(C#N)c2nc3ccccc3nc21,4.6314585648096145
CHEMBL1299808,Fc1ccc(NCc2cccnc2)cc1F,4.301029995663981
CHEMBL1300008,O=C(Cn1c(=O)n(Cc2ccco2)c(=O)c2c3c(sc21)CCCCC3)Nc1ccccc1,5.1404102231432445
CHEMBL1300662,C=CCn1c(=O)c(C#N)cc2c(=O)n3ccccc3nc21,4.34979683667053
CHEMBL1300705,CSc1ccc(S(=O)(=O)Nc2c(C)cccc2C)cc1,4.301029995663981
CHEMBL1301796,C=CCn1c(=O)[nH]c2cc(C(=O)N3CCN(c4ccc(C(C)=O)cc4)CC3)ccc2c1=O,4.301029995663981
CHEMBL1301994,CCn1c(SCC(=O)Nc2ccc3c(c2)oc2ccccc23)nnc1-c1ccc(N)cc1,4.931007545433353
CHEMBL1302802,C=CCn1c(SCC(=O)NC(=O)NCc2ccco2)nc2sc(CC)cc2c1=O,4.9961626396829875
CHEMBL1303477,O=C(CSc1nnc(-c2ccc(OC(F)F)cc2)o1)NC(=O)NCc1ccco1,4.935697411167474
CHEMBL1303886,COc1ccc2cc3c(N)nn(C(=O)Cc4ccc(Cl)cc4)c3nc2c1,4.6058408659837795
CHEMBL1304094,C=CCn1c(SCC(=O)NC2CCCCC2)nnc1C(C)NC(=O)c1cccs1,4.301029995663981
CHEMBL1304227,O=C(Nc1nc(-c2nc3ccccc3s2)cs1)C1COc2ccccc2O1,4.600476490792339
CHEMBL1305162,C=CCOc1ccc(CC2C(=O)N(C)C(=O)N(C)C2=O)cc1,4.301029995663981
CHEMBL1305485,CCOC(=O)CSc1nn(C)c(=S)s1,5.0978202703380635
CHEMBL1306474,COc1ccc(N(CN2C(=O)C3C4C=CC(C4)C3C2=O)C(=O)c2ccco2)cc1,4.301029995663981
CHEMBL1307301,CCN(c1ccccc1)S(=O)(=O)c1cc(C(=O)O)ccc1C,4.884155265432051
CHEMBL1307538,Cc1ccccc1S(=O)(=O)Oc1ccc2ccc(O)cc2c1,5.05700040663396
CHEMBL1307842,Cc1sc(NC(=O)CSc2nnc(-c3ccc(F)cc3)o2)c(C#N)c1C,4.301029995663981
CHEMBL1309506,COc1cc(NC(=O)c2cccs2)c(C(=O)OCC(=O)NCc2ccco2)cc1OC,4.830547765282757
CHEMBL131,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,4.5
CHEMBL1310171,C=CCn1c(COc2cccc(C)c2)nnc1SCC(=O)NC(=O)NCc1ccco1,4.8291028603969055
CHEMBL1310614,NC(=O)c1c(NC(=O)c2cccs2)sc2c1CCCCCC2,4.58732160395108
CHEMBL1312693,COc1ccc2nc3oc(C(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)cc3cc2c1,4.811203651811916
CHEMBL1312859,COc1cc(NC(=O)COc2ccc(-n3cnnn3)cc2)c(OC)cc1Cl,5.080481034790449
CHEMBL1313979,O=C(Nc1ccc2c(c1)nc1n2CCSC1)c1ccco1,4.838440650838761
CHEMBL1318094,O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ncccn2)CC1,6.920818753952375
CHEMBL1318598,COc1ccc(N2CCN(C(=O)CCCn3c(=S)[nH]c4ccccc4c3=O)CC2)cc1,4.301029995663981
CHEMBL1320651,COC(=O)c1ccc2c(=O)n(CCCCCC(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c2c1,4.829795216126643
CHEMBL1320937,O=C(Cc1cn2ccsc2n1)OCc1nc2ccccc2s1,5.156442712718408
CHEMBL1321083,Cc1ccc(C(C(=O)NC(C)(C)C)N(Cc2cccs2)C(=O)c2csnn2)cc1,4.301029995663981
CHEMBL1322601,COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)NCc4ccc5c(c4)OCO5)ccc3c2=O)cc1,4.72401917320842
CHEMBL1322881,N#Cc1c(C(F)(F)F)cc(-c2ccccc2)nc1SCc1nc(N)nc(N2CCOCC2)n1,4.301029995663981
CHEMBL1322939,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccccc2O)CC1,7.154901959985743
CHEMBL1323006,Cc1noc(C)c1COc1ccc(C(=O)OCC(=O)N2c3ccccc3NC(=O)C2(C)C)cc1,5.058680414847639
CHEMBL1324290,COc1ccc2[nH]c3nc(SCc4nnc(-c5ccc(C)cc5)o4)nnc3c2c1,5.164938183916401
CHEMBL1324414,Cc1csc2nc(CCNS(=O)(=O)c3ccc4c(c3)OCCO4)cn12,4.768005699305248
CHEMBL1325233,COc1ccc2c(c1)c(=O)oc1cc(OCC(=O)NC3CCCCC3)ccc12,4.74727072418482
CHEMBL1326210,Cn1nc([N+](=O)[O-])c2c(-c3nc4ccccc4s3)c(N)n(C3CCCCC3)c2c1=O,5.3025143421738745
CHEMBL1326483,NC(=O)c1ccccc1OCC1CC(c2ccccc2)=NO1,4.523858459739527
